iid,airline,origin,aircraft,impact,flight_date,damage,num_birds,bird_size,sky_conditions,altitude_ft,heavy_flag
202152,US AIRWAYS*,New York,B-737-400,Engine Shut Down,11/23/00 0:00,Caused damage,859,Medium,No Cloud,"1,500",Yes
208159,AMERICAN AIRLINES,Texas,MD-80,None,7/25/01 0:00,Caused damage,424,Small,Some Cloud,0,No
207601,BUSINESS,Louisiana,C-500,None,9/14/01 0:00,No damage,261,Small,No Cloud,50,No
215953,ALASKA AIRLINES,Washington,B-737-400,Precautionary Landing,9/5/02 0:00,No damage,806,Small,Some Cloud,50,Yes
219878,COMAIR AIRLINES,Virginia,CL-RJ100/200,None,6/23/03 0:00,No damage,942,Small,No Cloud,50,No
218432,AMERICAN AIRLINES,N/A,A-300,None,7/24/03 0:00,No damage,537,Small,No Cloud,0,No
221697,BUSINESS,Delaware,LEARJET-25,Other,8/17/03 0:00,Caused damage,227,Small,No Cloud,150,No
236635,UNITED AIRLINES,DC,A-320,Other,3/1/06 0:00,Caused damage,320,Small,Some Cloud,100,No
207369,AIRTRAN AIRWAYS,Georgia,DC-9-30,Aborted Take-off,1/6/00 0:00,No damage,9,Small,Some Cloud,0,No
204371,AIRTOURS INTL,Florida,A-330,None,1/7/00 0:00,No damage,4,Small,Some Cloud,0,No
201589,AMERICA WEST AIRLINES,California,A-320,None,1/8/00 0:00,No damage,3,Small,Some Cloud,200,No
205958,AMERICAN AIRLINES,Illinois,FOKKER F100,None,1/20/00 0:00,Caused damage,9,Large,No Cloud,"1,700",No
200220,BUSINESS,Connecticut,C-421,None,1/30/00 0:00,No damage,2,Small,Overcast,0,No
200219,EXECUTIVE JET AVIATION,Missouri,C-560,None,1/30/00 0:00,No damage,2,Small,Overcast,"1,800",No
203756,US AIRWAYS*,Rhode Island,B-737-200,None,1/30/00 0:00,No damage,5,Small,No Cloud,50,Yes
204061,TRANS WORLD AIRLINES,Missouri,MD-80,None,2/1/00 0:00,No damage,5,Large,Some Cloud,500,No
202604,HAWAIIAN AIR,Hawaii,DC-9-50,None,2/11/00 0:00,No damage,9,Small,No Cloud,0,No
201044,AMERICA WEST AIRLINES,Arizona,B-737,None,2/12/00 0:00,No damage,9,Small,Overcast,0,Yes
202254,US AIRWAYS*,Tennessee,B-737-400,None,2/18/00 0:00,No damage,5,Small,Some Cloud,800,Yes
205346,BUSINESS,South Carolina,C-560,None,2/23/00 0:00,Caused damage,6,Small,Some Cloud,500,No
201610,UNITED AIRLINES,Illinois,B-737-300,None,2/25/00 0:00,No damage,7,Medium,Overcast,"5,000",Yes
202454,DELTA AIR LINES,DC,B-737-200,Precautionary Landing,2/29/00 0:00,No damage,7,Medium,No Cloud,"1,500",Yes
201013,AIR TRANSAT,Florida,B-737-400,None,2/29/00 0:00,No damage,4,Large,Some Cloud,0,Yes
205771,MESABA AIRLINES,South Dakota,SAAB-340,None,3/4/00 0:00,No damage,8,Small,Some Cloud,"2,000",No
202226,CONTINENTAL AIRLINES,New Jersey,MD-82,None,3/6/00 0:00,No damage,5,Small,No Cloud,0,No
204404,EXECUTIVE JET AVIATION,Colorado,HAWKER 800,None,3/6/00 0:00,No damage,3,Small,No Cloud,20,No
202138,AMERICAN AIRLINES,Minnesota,FOKKER F28 MK 1000,Precautionary Landing,3/6/00 0:00,No damage,4,Small,No Cloud,200,No
201983,NORTHWEST AIRLINES,Minnesota,B-757-200,None,3/7/00 0:00,No damage,4,Small,Overcast,75,Yes
200247,BUSINESS,Colorado,HAWKER 800,None,3/11/00 0:00,No damage,5,Small,No Cloud,10,No
201387,CONTINENTAL AIRLINES,New York,EMB-135,None,3/13/00 0:00,No damage,5,Medium,No Cloud,10,No
200542,ABX AIR,Alabama,DC-9-40,None,3/13/00 0:00,No damage,6,Small,No Cloud,"5,000",No
202076,AIRTRAN AIRWAYS,Georgia,DC-9-30,None,3/14/00 0:00,No damage,8,Medium,No Cloud,"1,000",No
204836,DELTA AIR LINES,New York,B-727-200,None,3/15/00 0:00,Caused damage,10,Medium,No Cloud,"1,300",No
203390,HAWAIIAN AIR,N/A,DC-10-30,None,3/15/00 0:00,Caused damage,7,Medium,Some Cloud,0,Yes
203936,AMERICAN EAGLE AIRLINES,Florida,SAAB-340,Aborted Take-off,3/18/00 0:00,No damage,9,Medium,Some Cloud,0,No
203938,US AIRWAYS*,South Carolina,B-737,None,3/22/00 0:00,Caused damage,8,Large,Some Cloud,0,Yes
200130,NORTHWEST AIRLINES,Minnesota,DC-9-10,Engine Shut Down,3/23/00 0:00,Caused damage,5,Large,Overcast,800,No
201705,AMERICAN EAGLE AIRLINES,Louisiana,SAAB-340,None,3/23/00 0:00,No damage,3,Small,No Cloud,"1,000",No
